Section,Type,Index,Status
1 Average Function Value,Example,1,1
1 Average Function Value,Example,2,1
2 Area Between Curves,Example,1,1
2 Area Between Curves,Example,2,1
2 Area Between Curves,Example,3,1
2 Area Between Curves,Example,4,1
2 Area Between Curves,Example,5,1
2 Area Between Curves,Example,6,1
2 Area Between Curves,Example,7,1
3 Volume With Rings,Example,1,1
3 Volume With Rings,Example,2,1
3 Volume With Rings,Example,3,1
3 Volume With Rings,Example,4,1
4 Volume With Cylinders,Example,1,1
4 Volume With Cylinders,Example,2,1
4 Volume With Cylinders,Example,3,1
4 Volume With Cylinders,Example,4,1
6 Volume With Cylinders,Example,4,0
